label,x,y
America,20932750,330086
China,14722840,1404330
Japan,5048690,125758
Germany,3803010,83157
Britain,2710970,67093
India,2708770,1378600
France,2598910,65124
Italy,1884940,60245
Canada,1643410,37973
Korea,1630870,51779
